epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,157383,0.24542,0.50409,0.97253,0.92957,0.91566,0.96454,0.95436,0.19823,0.3804,1.12963,0.000494885,0.000494885,0.000494885
43,157897,0.25571,0.52571,0.98103,0.92569,0.91999,0.95658,0.95607,0.14182,0.35126,1.09916,0.000486639,0.000486639,0.000486639
44,158407,0.24176,0.50712,0.96952,0.89634,0.94375,0.95478,0.94998,0.18112,0.36987,1.11458,0.000478392,0.000478392,0.000478392
45,158917,0.24794,0.52621,0.97993,0.91529,0.93175,0.95327,0.9497,0.13988,0.33699,1.0916,0.000470145,0.000470145,0.000470145
46,321734,0.23531,0.50016,0.96708,0.88249,0.97653,0.9541,0.95321,0.14976,0.33258,1.0994,0.000461898,0.000461898,0.000461898
47,322233,0.24966,0.48466,0.98062,0.87209,0.96936,0.95193,0.95193,0.1211,0.36554,1.08125,0.000453652,0.000453652,0.000453652
48,322779,0.25485,0.4978,0.97841,0.8851,0.9741,0.96185,0.93127,0.28134,0.3359,1.23172,0.000445405,0.000445405,0.000445405
49,323243,0.24823,0.46743,0.97759,0.88522,0.97907,0.95741,0.95592,0.15942,0.28421,1.09575,0.000437158,0.000437158,0.000437158
50,323769,0.23035,0.48027,0.95849,0.90859,0.96466,0.97015,0.97015,0.13471,0.31852,1.08144,0.000428912,0.000428912,0.000428912
51,324392,0.23959,0.47199,0.96839,0.87876,0.95771,0.96136,0.96102,0.15539,0.33096,1.09238,0.000420665,0.000420665,0.000420665
52,324897,0.2321,0.47283,0.9698,0.88171,0.97052,0.9632,0.96154,0.12321,0.31352,1.08753,0.000412418,0.000412418,0.000412418
53,325276,0.22462,0.46115,0.96619,0.85749,0.94858,0.91846,0.91562,0.15651,0.40737,1.10674,0.000404172,0.000404172,0.000404172
54,325744,0.22343,0.4718,0.96714,0.90512,0.96016,0.96857,0.95691,0.24078,0.32345,1.14983,0.000395925,0.000395925,0.000395925
55,326300,0.22001,0.46529,0.95476,0.88388,0.95895,0.96791,0.95749,0.19157,0.37259,1.12887,0.000387678,0.000387678,0.000387678
56,326916,0.22214,0.45433,0.95944,0.91953,0.92625,0.96123,0.95912,0.17491,0.34225,1.11292,0.000379431,0.000379431,0.000379431
57,327477,0.2224,0.44937,0.97185,0.90975,0.9644,0.96072,0.95854,0.15214,0.30228,1.10251,0.000371185,0.000371185,0.000371185
